hpo_approach_id,run_id,iteration,config_original_idx,lr,num_layers,hidden_size,dropout_rate,weight_decay,device_used,processing_start_time_abs,processing_duration_s,test_accuracy,train_accuracy,fitness_score
DynamicPull_GPUmicrobatch,c6468262,7,12,2.643773e-03,2,334,0.0215,1.102386e-05,cuda,1747257662.903,3.227,0.7612,0.7728,0.7612
DynamicPull_GPUmicrobatch,c6468262,7,14,3.310751e-03,2,334,0.0122,1.265557e-05,cuda,1747257666.130,3.573,0.7814,0.7800,0.7814
DynamicPull_GPUmicrobatch,c6468262,7,17,2.757865e-03,2,334,0.0072,1.129324e-05,cuda,1747257669.704,3.830,0.7808,0.7818,0.7808
DynamicPull_GPUmicrobatch,c6468262,7,7,8.918000e-04,2,421,0.5873,2.720698e-05,cpu,1747257650.079,25.478,0.7432,0.7530,0.7432
DynamicPull_GPUmicrobatch,c6468262,7,16,9.442175e-05,3,232,0.5789,2.059365e-04,cuda,1747257673.534,3.728,0.6906,0.6844,0.6906
DynamicPull_GPUmicrobatch,c6468262,7,13,2.757865e-03,1,334,0.0215,1.029052e-05,cuda,1747257677.262,3.194,0.7556,0.7592,0.7556
DynamicPull_GPUmicrobatch,c6468262,7,4,1.858094e-04,4,77,0.4105,2.360326e-05,cuda,1747257680.456,3.862,0.6758,0.6720,0.6758
DynamicPull_GPUmicrobatch,c6468262,7,18,2.757865e-03,3,334,0.0215,1.102386e-05,cpu,1747257650.037,36.158,0.7783,0.7728,0.7783
DynamicPull_GPUmicrobatch,c6468262,7,19,2.117163e-03,2,111,0.1040,1.434919e-04,cuda,1747257684.318,3.151,0.7558,0.7596,0.7558
DynamicPull_GPUmicrobatch,c6468262,7,9,1.232548e-04,1,112,0.3965,1.018304e-06,cuda,1747257687.469,3.414,0.6660,0.6594,0.6660
DynamicPull_GPUmicrobatch,c6468262,7,15,2.757865e-03,2,248,0.0215,1.102386e-05,cpu,1747257674.043,18.280,0.7761,0.7890,0.7761
DynamicPull_GPUmicrobatch,c6468262,7,1,6.366548e-05,3,54,0.4386,2.338780e-04,cuda,1747257689.495,3.402,0.5299,0.5258,0.5299
DynamicPull_GPUmicrobatch,c6468262,7,2,1.910272e-04,1,145,0.3450,4.058289e-05,cpu,1747257684.663,11.345,0.6986,0.6862,0.6986
DynamicPull_GPUmicrobatch,c6468262,7,8,4.681224e-04,1,74,0.5896,1.386607e-05,cuda,1747257692.898,3.442,0.7141,0.7080,0.7141
DynamicPull_GPUmicrobatch,c6468262,7,0,1.357533e-04,2,62,0.5281,6.024112e-07,cpu,1747257690.936,6.168,0.6507,0.6522,0.6507
DynamicPull_GPUmicrobatch,c6468262,7,10,1.053883e-04,4,466,0.1714,2.261947e-05,cpu,1747257649.946,51.336,0.7344,0.7332,0.7344
DynamicPull_GPUmicrobatch,c6468262,8,3,2.847607e-03,3,334,0.0215,1.102386e-05,cuda,1747257701.496,4.964,0.7810,0.7966,0.7810
DynamicPull_GPUmicrobatch,c6468262,8,6,2.757865e-03,2,416,0.0072,1.129324e-05,cuda,1747257706.460,3.117,0.7768,0.7892,0.7768
DynamicPull_GPUmicrobatch,c6468262,8,12,2.757865e-03,2,384,0.0072,1.072561e-05,cuda,1747257709.577,2.951,0.7726,0.7808,0.7726
DynamicPull_GPUmicrobatch,c6468262,8,8,3.310751e-03,2,368,0.0122,1.265557e-05,cuda,1747257712.530,3.213,0.7752,0.7914,0.7752
DynamicPull_GPUmicrobatch,c6468262,8,14,1.333750e-04,4,232,0.4071,1.862624e-07,cuda,1747257715.743,3.783,0.7205,0.7176,0.7205
DynamicPull_GPUmicrobatch,c6468262,8,7,1.819831e-04,4,229,0.3680,2.826900e-04,cuda,1747257719.526,3.934,0.7217,0.7254,0.7217
DynamicPull_GPUmicrobatch,c6468262,8,18,3.310751e-03,2,334,0.0122,1.265557e-05,cuda,1747257722.122,2.979,0.7800,0.7874,0.7800
DynamicPull_GPUmicrobatch,c6468262,8,9,2.757865e-03,2,424,0.0072,1.129324e-05,cpu,1747257701.583,26.460,0.7774,0.7796,0.7774
DynamicPull_GPUmicrobatch,c6468262,8,11,2.757865e-03,2,248,0.0000,1.102386e-05,cuda,1747257725.102,3.210,0.7783,0.7864,0.7783
DynamicPull_GPUmicrobatch,c6468262,8,19,2.757865e-03,2,248,0.1275,1.102386e-05,cuda,1747257728.312,3.215,0.7588,0.7744,0.7588
DynamicPull_GPUmicrobatch,c6468262,8,4,2.931795e-03,4,151,0.1040,1.624806e-04,cuda,1747257731.527,3.766,0.7580,0.7656,0.7580
DynamicPull_GPUmicrobatch,c6468262,8,10,2.757865e-03,3,334,0.0000,1.102386e-05,cpu,1747257701.526,36.642,0.7779,0.7944,0.7779
DynamicPull_GPUmicrobatch,c6468262,8,16,2.824407e-04,1,236,0.3481,1.362325e-06,cuda,1747257735.294,3.221,0.7224,0.7242,0.7224
DynamicPull_GPUmicrobatch,c6468262,8,0,8.874253e-05,1,196,0.3839,8.229551e-07,cuda,1747257738.515,2.938,0.6628,0.6650,0.6628
DynamicPull_GPUmicrobatch,c6468262,8,17,4.167324e-04,4,314,0.2825,5.056562e-06,cpu,1747257701.450,41.436,0.7395,0.7586,0.7395
DynamicPull_GPUmicrobatch,c6468262,8,15,5.284497e-03,3,46,0.1936,7.954868e-05,cuda,1747257741.453,3.436,0.7440,0.7490,0.7440
DynamicPull_GPUmicrobatch,c6468262,8,5,1.533024e-03,2,37,0.4228,1.097467e-06,cuda,1747257744.889,3.072,0.7268,0.7286,0.7268
DynamicPull_GPUmicrobatch,c6468262,8,13,2.757865e-03,2,248,0.0215,9.749452e-06,cpu,1747257726.714,21.509,0.7706,0.7788,0.7706
DynamicPull_GPUmicrobatch,c6468262,8,1,1.886428e-03,3,96,0.5821,8.751020e-06,cpu,1747257736.825,12.605,0.7314,0.7298,0.7314
DynamicPull_GPUmicrobatch,c6468262,8,2,5.156021e-05,3,33,0.1856,3.489816e-06,cpu,1747257741.544,8.850,0.5255,0.5240,0.5255
DynamicPull_GPUmicrobatch,c6468262,9,5,2.847607e-03,3,336,0.0215,1.102386e-05,cuda,1747257751.993,4.696,0.7793,0.7894,0.7793
DynamicPull_GPUmicrobatch,c6468262,9,14,2.893923e-03,2,424,0.0072,1.129324e-05,cuda,1747257756.689,3.241,0.7714,0.7882,0.7714
DynamicPull_GPUmicrobatch,c6468262,9,16,2.847607e-03,3,312,0.0215,1.102386e-05,cuda,1747257759.930,3.805,0.7714,0.7822,0.7714
DynamicPull_GPUmicrobatch,c6468262,9,11,2.757865e-03,2,336,0.0072,1.129324e-05,cuda,1747257763.735,3.117,0.7798,0.7944,0.7798
DynamicPull_GPUmicrobatch,c6468262,9,13,3.310751e-03,2,334,0.0000,1.265557e-05,cuda,1747257766.853,2.929,0.7674,0.7816,0.7674
DynamicPull_GPUmicrobatch,c6468262,9,15,4.046730e-03,2,334,0.0122,1.265557e-05,cuda,1747257769.783,3.226,0.7759,0.7832,0.7759
DynamicPull_GPUmicrobatch,c6468262,9,19,2.757865e-03,2,334,0.0000,1.102386e-05,cuda,1747257773.009,2.832,0.7790,0.7846,0.7790
DynamicPull_GPUmicrobatch,c6468262,9,1,2.757865e-03,1,424,0.0072,1.129324e-05,cuda,1747257775.840,2.407,0.7554,0.7600,0.7554
